epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_temp,val_loss_temp,tr_loss_energy,val_loss_energy
1,1.8028655059283702,50.171972356406336,1.4681823535713117,48.032559462424466,0.001172,0.000203,34344890.697874,31101348.3724
2,1.1849505734872636,58.49420424655205,1.4547904442584583,48.231460861119224,0.00031,0.00026,16175735.456231,11326103.078368
3,1.1032063498842237,60.82350705591727,1.3550583652090302,50.64555886842904,0.000406,0.000538,7211922.536554,6628531.593596
4,1.0586735987323002,62.123025993379144,1.4386611202653865,48.520525734319584,0.000191,0.000278,4792389.093097,4161481.569088
5,1.028235400941888,63.123306029783876,1.4418205858701612,48.73200358332092,0.000114,9e-05,3395703.881843,3757265.202861
6,1.0060548640959956,63.75293788192465,1.5838437244060306,45.39537457506109,8.8e-05,4.5e-05,2809104.292679,3616362.714678
7,0.9554898172260775,65.3480952523828,1.5033911289685862,48.09466777855386,2.3e-05,1.8e-05,2862431.240175,3445065.050278
8,0.9434553475248654,65.67993839199096,1.5690924857748771,46.64566721938554,1.9e-05,1.7e-05,2721293.148625,3336372.028374
9,0.9345565379086191,65.98847850220528,1.6759576184343097,45.453613214173075,1.9e-05,2.8e-05,2594014.732197,3319650.059214
10,0.9073016609417535,66.79513336733775,1.6162684021373162,46.29275267539795,8e-06,9e-06,2760851.949008,3420391.24427
11,0.9014188217488684,66.9873083500855,1.683848400569946,45.210404013629,8e-06,7e-06,2754757.39505,3318167.187583
12,0.8962487697721735,67.1235260583876,1.5940120513466827,48.12543171084226,6e-06,5e-06,2747732.982467,3286402.545524
13,0.8813164960629013,67.6152899876984,1.613458168036419,46.7667881100304,3e-06,4e-06,2797696.951677,3550022.24927
14,0.8779892093845306,67.6874493684179,1.6888965453234912,46.2505731959082,3e-06,2e-06,2850277.091612,3600916.951854
15,0.8751738035085244,67.77151029633852,1.6970104633561014,45.194925305559366,3e-06,2e-06,2894658.512356,3616815.289723
