epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_energy,val_loss_energy,tr_loss_mono,val_loss_mono
1,1.0520273795747097,59.52492984646245,1.4229464414116462,51.3948473958597,63236259.81112,66002145.284843,0.0,0.0
2,0.8327027312236845,66.2436648421412,1.3724222442049931,55.82730171584755,41581814.402855,29198012.727,0.0,0.0
3,0.7722769557779124,68.47918867300449,1.445160896045365,52.25651667763324,20742911.940591,12886880.30132,0.0,0.0
4,0.7348554659502587,69.88914140605827,1.3816294254933001,53.879840056688764,12314349.976123,9788634.616208,0.0,0.0
5,0.7067264363495126,70.96000981616038,1.4749169269467062,52.004656577415595,8197226.290266,7363307.31043,0.0,0.0
6,0.6606980294693514,72.74959188246216,1.4942637181389444,52.498456243356785,7740450.591961,7595934.217531,0.0,0.0
7,0.647422088697867,73.22919667530915,1.5392498095571232,53.42005365187023,7308630.843981,7006719.905664,0.0,0.0
8,0.6373242056046838,73.651451618066,1.5771738692677177,51.98258844966341,6999324.442286,6251229.486635,0.0,0.0
9,0.6131623454513824,74.57390395100457,1.5218421789731804,54.165915877916696,7111706.773768,6477853.651032,0.0,0.0
10,0.6068263285404759,74.80522390448449,1.6533529204843667,50.98567596294984,7170248.876405,6850456.156449,0.0,0.0
11,0.6009560488040968,75.0702068862499,1.5874809521515432,52.932125322670444,7175203.953542,7020743.426435,0.0,0.0
12,0.5878465407532405,75.55082530435432,1.6630724578128928,52.74525484638356,7396057.104095,7341730.307267,0.0,0.0
13,0.5847376319479447,75.7025490007789,1.6447430244114571,54.13574935465911,7551657.215198,7033425.600943,0.0,0.0
14,0.5817153100297201,75.82983899363016,1.6711522611902208,53.086197297160496,7733920.88948,7469082.893844,0.0,0.0
15,0.5741774713116838,76.14806397575835,1.6802479829691426,52.46221592347017,8048940.703923,7821257.055081,0.0,0.0
