epoch,train_loss,train_acc,val_loss,val_acc,tr_loss_energy,val_loss_energy,tr_loss_mono,val_loss_mono
1,9.164159087454134,30.250982627741607,2.202180500022084,42.24120083817204,620.10365,2.178918,0.0,0.0
2,5.610302439178239,38.66167601788232,2.52062433145252,31.442673637244866,337.247373,3.785792,0.0,0.0
3,1.882877901591263,46.10349345414904,1.7683821612271167,43.77456035631986,4.701823,4.392107,0.0,0.0
4,2.1360999838702384,47.9614849930491,1.6339464365038607,47.38632340051738,42.985625,3.192424,0.0,0.0
5,1.4095801384176434,53.82564733415344,1.5968033338885403,47.50338113029396,2.634667,4.237539,0.0,0.0
6,1.3022608384901786,56.35702641343374,1.4406433008739603,51.55435251596725,2.495442,2.160081,0.0,0.0
7,1.2361176297994823,57.989938692029966,1.4722701748151181,50.06472034811614,2.208791,2.664477,0.0,0.0
8,1.1948911986263788,59.01902247292148,1.5610336013248112,46.80683926716057,2.102888,1.885451,0.0,0.0
9,1.1639976861137418,59.787022312900675,1.6142101037936278,45.0281422261091,2.026021,2.136726,0.042769,0.002433
10,1.1104772382972061,61.04893636172702,1.628156057713324,45.97060206369875,1.351987,1.373338,0.03318,0.000993
11,1.095349732801566,61.505645733945414,1.632696505282382,45.05019938510832,1.365614,1.213656,0.03375,0.001198
12,1.0835818005021627,61.83283826897497,1.5235280547241459,50.05794841333569,1.366296,1.687201,0.032865,0.001389
13,1.0558347742488876,62.54303059397722,1.528286174128853,47.95535940592718,1.03045,1.201825,0.028573,0.000975
14,1.04905087601259,62.728854751117645,1.5946134886033045,46.199686943129294,1.043498,1.11873,0.028488,0.000826
15,1.043852492748534,62.87122325902368,1.5784914643402168,46.55666464798516,1.046615,1.150385,0.028409,0.000863
