Experimento,Modelo,L_energy,L_mono,Margin,Warmup,MixRatio,Seed,Best_Val_Loss,Best_Val_Acc,Val_Loss_Energy,Val_Loss_Mono,Val_Macro_F1,Val_Balanced_Acc,Test_Domain,Test_Loss,Test_Acc,Test_Macro_F1,Test_Balanced_Acc,Duracion_Min,Epocas
PI_DeepONet_Physics_Rec_0.0_CIR_0.0_Dop_0.0_Seed_123_2026-08-19_18-13-58,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,123,1.3733,53.50%,1476936.741799,N/A,0.4320,0.4360,MC1-01B,8.4385,15.70%,0.0633,0.1988,85.66,15
PI_DeepONet_Physics_Rec_0.0_CIR_0.0_Dop_0.0_Seed_42_2026-08-19_07-44-12,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,42,1.3212,53.86%,62189728.141868,N/A,0.4517,0.4514,MC1-01B,8.3921,15.58%,0.0737,0.1973,85.74,15
PI_DeepONet_Physics_Rec_0.0_CIR_0.0_Dop_0.0_Seed_42_2026-08-19_13-45-02,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,42,1.3353,55.57%,1011684.316954,N/A,0.4790,0.4779,MC1-01B,8.8763,15.79%,0.0548,0.2000,85.58,15
PI_DeepONet_Physics_Rec_0.0_CIR_0.0_Dop_0.0_Seed_777_2026-08-19_22-43-03,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,777,1.1603,53.82%,1829119.676569,N/A,0.4621,0.4706,MC1-01B,7.9011,15.73%,0.0682,0.1991,85.63,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.01_Dop_0.01_Seed_123_2026-08-19_21-12-35,PI-DeepONet_Physics_Fourier,0.01,0.001,N/A,N/A,N/A,123,1.4888,57.60%,0.923528,N/A,0.3886,0.4344,MC1-01B,5.1671,15.77%,0.0602,0.1978,86.81,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.01_Dop_0.01_Seed_42_2026-08-19_10-41-50,PI-DeepONet_Physics_Fourier,0.01,0.001,N/A,N/A,N/A,42,1.5256,53.90%,2.303307,N/A,0.4344,0.4411,MC1-01B,6.2916,15.91%,0.0874,0.2011,86.63,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.01_Dop_0.01_Seed_42_2026-08-19_16-43-30,PI-DeepONet_Physics_Fourier,0.01,0.001,N/A,N/A,N/A,42,1.5433,58.63%,2.210497,N/A,0.4501,0.4512,MC1-01B,7.2997,15.69%,0.0672,0.1987,86.77,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.01_Dop_0.01_Seed_777_2026-08-20_01-41-38,PI-DeepONet_Physics_Fourier,0.01,0.001,N/A,N/A,N/A,777,1.5032,56.68%,1.200692,N/A,0.4772,0.4830,MC1-01B,8.3858,15.90%,0.0776,0.2012,86.68,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.0_Dop_0.0_Seed_123_2026-08-19_19-43-13,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,123,1.5583,53.23%,873273.559493,N/A,0.4563,0.4609,MC1-01B,8.6240,15.86%,0.0591,0.2009,85.72,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.0_Dop_0.0_Seed_42_2026-08-19_09-13-02,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,42,1.5968,53.77%,84081962.111203,N/A,0.4564,0.4560,MC1-01B,10.2675,15.72%,0.0613,0.1991,85.61,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.0_Dop_0.0_Seed_42_2026-08-19_15-14-14,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,42,1.4359,55.38%,1370457.296013,N/A,0.4809,0.4817,MC1-01B,8.6680,15.83%,0.0645,0.2005,85.63,15
PI_DeepONet_Physics_Rec_1.0_CIR_0.0_Dop_0.0_Seed_777_2026-08-20_00-12-18,PI-DeepONet_Physics_Fourier,0.0,0.0,N/A,N/A,N/A,777,1.5639,54.70%,1940083.833694,N/A,0.4383,0.4475,MC1-01B,8.6863,15.67%,0.0623,0.1985,85.69,15
